0,1
TCGA-77-7141,Altered
TCGA-77-7142,Altered
TCGA-77-7337,Altered
TCGA-77-7338,Altered
TCGA-77-7463,Altered
TCGA-77-7465,Altered
TCGA-77-8008,Altered
TCGA-77-8009,Altered
TCGA-77-8128,Altered
TCGA-77-8138,Altered
TCGA-77-8139,Altered
TCGA-77-8143,Altered
TCGA-77-8144,Altered
TCGA-77-8148,Altered
TCGA-77-8150,Altered
TCGA-77-8153,Altered
TCGA-77-8154,Altered
TCGA-MN-A4N1,Altered
TCGA-MN-A4N4,Altered
TCGA-MP-A4T8,Altered
TCGA-MP-A4TE,Altered
TCGA-MP-A5C7,Altered
TCGA-78-7143,Altered
TCGA-78-7147,Altered
TCGA-78-7148,Altered
TCGA-78-7149,Altered
TCGA-78-7150,Altered
TCGA-78-7152,Altered
TCGA-78-7154,Altered
TCGA-78-7156,Altered
TCGA-78-7158,Altered
TCGA-78-7159,Altered
TCGA-78-7163,Altered
TCGA-78-7166,Altered
TCGA-78-7167,Altered
TCGA-78-7220,Altered
TCGA-78-7537,Altered
TCGA-78-7542,Altered
TCGA-78-7633,Altered
TCGA-NC-A5HD,Altered
TCGA-NC-A5HF,Altered
TCGA-NC-A5HG,Altered
TCGA-NC-A5HH,Altered
TCGA-NC-A5HI,Altered
TCGA-NC-A5HK,Altered
TCGA-NC-A5HL,Altered
TCGA-NC-A5HM,Altered
TCGA-NC-A5HN,Altered
TCGA-NC-A5HO,Altered
TCGA-NC-A5HP,Altered
TCGA-NC-A5HQ,Altered
TCGA-NC-A5HR,Altered
TCGA-NC-A5HT,Altered
TCGA-NH-A8F7,Altered
TCGA-NH-A50T,Altered
TCGA-NJ-A4YP,Altered
TCGA-NJ-A7XG,Altered
TCGA-NJ-A55R,Altered
TCGA-NK-A5CR,Altered
TCGA-NK-A5CT,Altered
TCGA-NK-A5CX,Altered
TCGA-NK-A7XE,Altered
TCGA-O2-A52N,Altered
TCGA-O2-A52S,Altered
TCGA-O2-A52V,Altered
TCGA-O2-A52W,Altered
TCGA-80-5608,Altered
TCGA-QG-A5YX,Altered
TCGA-QL-A97D,Altered
TCGA-RC-A7SK,Altered
TCGA-T9-A92H,Altered
TCGA-85-A4CN,Altered
TCGA-85-A4JC,Altered
TCGA-85-A4QQ,Altered
TCGA-85-A4QR,Altered
TCGA-85-A5B5,Altered
TCGA-85-A50Z,Altered
TCGA-85-A53L,Altered
TCGA-85-A510,Altered
TCGA-85-A511,Altered
TCGA-85-A512,Altered
TCGA-85-6798,Altered
TCGA-85-7696,Altered
TCGA-85-7697,Altered
TCGA-85-7698,Altered
TCGA-85-7710,Altered
TCGA-85-7843,Altered
TCGA-85-7844,Altered
TCGA-85-7950,Altered
TCGA-85-8052,Altered
TCGA-85-8070,Altered
TCGA-85-8071,Altered
TCGA-85-8072,Altered
TCGA-85-8277,Altered
TCGA-85-8288,Altered
TCGA-85-8350,Altered
TCGA-85-8351,Altered
TCGA-85-8352,Altered
TCGA-85-8353,Altered
